"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testNavigateBrandPage","eCommerce CMS","2026-08-04","skipped","2026-08-04","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","24870","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","2026-08-04","failed","2026-08-04","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
"","0","testLoginWithPasswordInvalid","eCommerce CMS","2026-08-04","skipped","2026-08-04","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","24951","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","2026-08-04","failed","2026-08-04","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","0","testLogout","eCommerce CMS","2026-08-04","skipped","2026-08-04","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","24890","Add product failed, Required field: Discount is NULL ","eCommerce CMS","2026-08-04","failed","2026-08-04","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","25206","searchDataTable","eCommerce CMS","2026-08-04","failed","2026-08-04","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","searchDataTable"
"","24686","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","2026-08-04","failed","2026-08-04","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","2","testLoginWithEmptyEmail","eCommerce CMS","2026-08-04","skipped","2026-08-04","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmptyEmail"
"","0","testLoginSuccess","eCommerce CMS","2026-08-04","skipped","2026-08-04","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","24950","update Ordering Number","eCommerce CMS","2026-08-04","failed","2026-08-04","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
"","0","testNavigateProductPage","eCommerce CMS","2026-08-04","skipped","2026-08-04","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
"","2","createDriver","eCommerce CMS","2026-08-04","broken","2026-08-04","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","createDriver"
"","0","testDeleteBrand","eCommerce CMS","2026-08-04","skipped","2026-08-04","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","24846","Add category failed, Required field: Name is NULL","eCommerce CMS","2026-08-04","failed","2026-08-04","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","24211","testEditProduct","eCommerce CMS","2026-08-04","failed","2026-08-04","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
"","35895","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-08-04","failed","2026-08-04","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","2","testLoginWithEmailInvalid","eCommerce CMS","2026-08-04","skipped","2026-08-04","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","25053","testAddNewCategory","eCommerce CMS","2026-08-04","failed","2026-08-04","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategory"
"","2","testAddNewBrand","eCommerce CMS","2026-08-04","skipped","2026-08-04","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","1","testNavigateCategoryPage","eCommerce CMS","2026-08-04","skipped","2026-08-04","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateCategoryPage"
"","24761","testDeleteCategory","eCommerce CMS","2026-08-04","failed","2026-08-04","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","0","testLoginWithEmptyPassword","eCommerce CMS","2026-08-04","skipped","2026-08-04","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmptyPassword"
"","4","createDriver","eCommerce CMS","2026-08-04","broken","2026-08-04","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","createDriver"
"","0","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-08-04","skipped","2026-08-04","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","1","testEditBrand","eCommerce CMS","2026-08-04","skipped","2026-08-04","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testEditBrand"
"","1","testIncorrectFormatEmail","eCommerce CMS","2026-08-04","skipped","2026-08-04","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","1","createDriver","eCommerce CMS","2026-08-04","broken","2026-08-04","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","createDriver"
"","0","createDriver","eCommerce CMS","2026-08-04","broken","2026-08-04","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","createDriver"
