"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24908","testAddNewCategory","eCommerce CMS","Sat Apr 25 01:40:18 UTC 2026","failed","Sat Apr 25 01:40:43 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategory"
"","4414","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","Sat Apr 25 01:42:00 UTC 2026","failed","Sat Apr 25 01:42:04 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
"","3848","testLoginWithPasswordInvalid","eCommerce CMS","Sat Apr 25 01:39:11 UTC 2026","passed","Sat Apr 25 01:39:14 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","5101","testLoginSuccess","eCommerce CMS","Sat Apr 25 01:39:01 UTC 2026","passed","Sat Apr 25 01:39:06 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","26212","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","Sat Apr 25 01:38:53 UTC 2026","failed","Sat Apr 25 01:39:20 UTC 2026","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","24786","testAddNewBrand","eCommerce CMS","Sat Apr 25 01:39:20 UTC 2026","failed","Sat Apr 25 01:39:45 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","4600","update Ordering Number","eCommerce CMS","Sat Apr 25 01:40:43 UTC 2026","failed","Sat Apr 25 01:40:48 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
"","2729","testDeleteCategory","eCommerce CMS","Sat Apr 25 01:41:14 UTC 2026","failed","Sat Apr 25 01:41:17 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","24759","testNavigateCategoryPage","eCommerce CMS","Sat Apr 25 01:39:27 UTC 2026","failed","Sat Apr 25 01:39:52 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateCategoryPage"
"","2744","testPasswordNull","eCommerce CMS","Sat Apr 25 01:39:15 UTC 2026","passed","Sat Apr 25 01:39:18 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testPasswordNull"
"","27999","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","Sat Apr 25 01:37:49 UTC 2026","failed","Sat Apr 25 01:38:17 UTC 2026","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","24498","testDataTable","eCommerce CMS","Sat Apr 25 01:41:20 UTC 2026","failed","Sat Apr 25 01:41:44 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","25212","Add product and Check product details","eCommerce CMS","Sat Apr 25 01:40:44 UTC 2026","failed","Sat Apr 25 01:41:09 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
"","26122","testAddBrandNullName","eCommerce CMS","Sat Apr 25 01:38:53 UTC 2026","failed","Sat Apr 25 01:39:19 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddBrandNullName"
"","3362","testEmailNull","eCommerce CMS","Sat Apr 25 01:38:53 UTC 2026","passed","Sat Apr 25 01:38:57 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testEmailNull"
"","3988","testLoginWithEmailInvalid","eCommerce CMS","Sat Apr 25 01:39:06 UTC 2026","passed","Sat Apr 25 01:39:10 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","25065","testEditProduct","eCommerce CMS","Sat Apr 25 01:42:30 UTC 2026","failed","Sat Apr 25 01:42:55 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
"","24385","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","Sat Apr 25 01:41:35 UTC 2026","failed","Sat Apr 25 01:41:59 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","25653","testNavigateBrandPage","eCommerce CMS","Sat Apr 25 01:39:01 UTC 2026","failed","Sat Apr 25 01:39:26 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","24947","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","Sat Apr 25 01:42:05 UTC 2026","failed","Sat Apr 25 01:42:30 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","6756","testLogout","eCommerce CMS","Sat Apr 25 01:38:53 UTC 2026","passed","Sat Apr 25 01:39:00 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","2781","testIncorrectFormatEmail","eCommerce CMS","Sat Apr 25 01:38:57 UTC 2026","passed","Sat Apr 25 01:39:00 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","25002","Add category failed, Required field: Name is NULL","eCommerce CMS","Sat Apr 25 01:40:49 UTC 2026","failed","Sat Apr 25 01:41:14 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","24618","testNavigateProductPage","eCommerce CMS","Sat Apr 25 01:39:52 UTC 2026","failed","Sat Apr 25 01:40:17 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
"","25151","searchDataTable","eCommerce CMS","Sat Apr 25 01:40:18 UTC 2026","failed","Sat Apr 25 01:40:43 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","searchDataTable"
"","24681","Add product failed, Required field: Discount is NULL ","eCommerce CMS","Sat Apr 25 01:41:09 UTC 2026","failed","Sat Apr 25 01:41:34 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","24596","testDeleteBrand","eCommerce CMS","Sat Apr 25 01:39:46 UTC 2026","failed","Sat Apr 25 01:40:10 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
