"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4200","testEditProduct","eCommerce CMS","Tue Apr 07 01:44:07 UTC 2026","failed","Tue Apr 07 01:44:11 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
"","24289","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","Tue Apr 07 01:42:52 UTC 2026","failed","Tue Apr 07 01:43:16 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","24561","Add product and Check product details","eCommerce CMS","Tue Apr 07 01:42:01 UTC 2026","failed","Tue Apr 07 01:42:26 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
"","24679","testDeleteBrand","eCommerce CMS","Tue Apr 07 01:41:04 UTC 2026","failed","Tue Apr 07 01:41:28 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","3126","testEmailNull","eCommerce CMS","Tue Apr 07 01:40:12 UTC 2026","passed","Tue Apr 07 01:40:15 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testEmailNull"
"","24989","testNavigateBrandPage","eCommerce CMS","Tue Apr 07 01:40:19 UTC 2026","failed","Tue Apr 07 01:40:44 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","4000","testLoginWithEmailInvalid","eCommerce CMS","Tue Apr 07 01:40:24 UTC 2026","passed","Tue Apr 07 01:40:28 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","24608","testDataTable","eCommerce CMS","Tue Apr 07 01:43:16 UTC 2026","failed","Tue Apr 07 01:43:41 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","24427","update Ordering Number","eCommerce CMS","Tue Apr 07 01:42:01 UTC 2026","failed","Tue Apr 07 01:42:25 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
"","4650","testLoginSuccess","eCommerce CMS","Tue Apr 07 01:40:19 UTC 2026","passed","Tue Apr 07 01:40:23 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","2446","testPasswordNull","eCommerce CMS","Tue Apr 07 01:40:33 UTC 2026","passed","Tue Apr 07 01:40:35 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testPasswordNull"
"","24145","testDeleteCategory","eCommerce CMS","Tue Apr 07 01:42:51 UTC 2026","failed","Tue Apr 07 01:43:16 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","24652","Add category failed, Required field: Name is NULL","eCommerce CMS","Tue Apr 07 01:42:26 UTC 2026","failed","Tue Apr 07 01:42:51 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","24675","testNavigateProductPage","eCommerce CMS","Tue Apr 07 01:41:10 UTC 2026","failed","Tue Apr 07 01:41:35 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
"","24329","testAddNewBrand","eCommerce CMS","Tue Apr 07 01:40:39 UTC 2026","failed","Tue Apr 07 01:41:03 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","7260","testLogout","eCommerce CMS","Tue Apr 07 01:40:12 UTC 2026","passed","Tue Apr 07 01:40:19 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","24566","Add product failed, Required field: Discount is NULL ","eCommerce CMS","Tue Apr 07 01:42:27 UTC 2026","failed","Tue Apr 07 01:42:51 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","24369","testAddNewCategory","eCommerce CMS","Tue Apr 07 01:41:36 UTC 2026","failed","Tue Apr 07 01:42:00 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategory"
"","24623","testNavigateCategoryPage","eCommerce CMS","Tue Apr 07 01:40:45 UTC 2026","failed","Tue Apr 07 01:41:10 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateCategoryPage"
"","24166","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","Tue Apr 07 01:43:17 UTC 2026","failed","Tue Apr 07 01:43:41 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
"","24698","searchDataTable","eCommerce CMS","Tue Apr 07 01:41:36 UTC 2026","failed","Tue Apr 07 01:42:01 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","searchDataTable"
"","24377","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","Tue Apr 07 01:43:42 UTC 2026","failed","Tue Apr 07 01:44:06 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","3711","testLoginWithPasswordInvalid","eCommerce CMS","Tue Apr 07 01:40:28 UTC 2026","passed","Tue Apr 07 01:40:32 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","2815","testIncorrectFormatEmail","eCommerce CMS","Tue Apr 07 01:40:15 UTC 2026","passed","Tue Apr 07 01:40:18 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","25386","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","Tue Apr 07 01:39:23 UTC 2026","failed","Tue Apr 07 01:39:49 UTC 2026","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","26604","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","Tue Apr 07 01:40:12 UTC 2026","failed","Tue Apr 07 01:40:38 UTC 2026","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","26222","testAddBrandNullName","eCommerce CMS","Tue Apr 07 01:40:12 UTC 2026","failed","Tue Apr 07 01:40:38 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddBrandNullName"
