"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25090","Add category failed, Required field: Name is NULL","eCommerce CMS","2026-06-09","failed","2026-06-09","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","25069","Add product failed, Required field: Discount is NULL ","eCommerce CMS","2026-06-09","failed","2026-06-09","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","0","testEditBrand","eCommerce CMS","2026-06-09","skipped","2026-06-09","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testEditBrand"
"","0","testAddNewBrand","eCommerce CMS","2026-06-09","skipped","2026-06-09","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","24811","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","2026-06-09","failed","2026-06-09","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","25079","searchDataTable","eCommerce CMS","2026-06-09","failed","2026-06-09","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","searchDataTable"
"","24951","testDeleteCategory","eCommerce CMS","2026-06-09","failed","2026-06-09","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","1","testDeleteBrand","eCommerce CMS","2026-06-09","skipped","2026-06-09","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","24817","testEditProduct","eCommerce CMS","2026-06-09","failed","2026-06-09","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
"","27503","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-06-09","failed","2026-06-09","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
