"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3019","testLoginWithEmptyPassword","eCommerce CMS","2026-07-15","passed","2026-07-15","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmptyPassword"
"","5975","testLoginSuccess","eCommerce CMS","2026-07-15","passed","2026-07-15","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","25122","testEditProduct","eCommerce CMS","2026-07-15","failed","2026-07-15","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
"","25895","testNavigateBrandPage","eCommerce CMS","2026-07-15","failed","2026-07-15","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","25347","Add product and Check product details","eCommerce CMS","2026-07-15","failed","2026-07-15","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
"","26147","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-07-15","failed","2026-07-15","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","1","testAddNewBrand","eCommerce CMS","2026-07-15","skipped","2026-07-15","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","4031","testLoginWithPasswordInvalid","eCommerce CMS","2026-07-15","passed","2026-07-15","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","25343","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","2026-07-15","failed","2026-07-15","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
"","25210","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","2026-07-15","failed","2026-07-15","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","4220","testIncorrectFormatEmail","eCommerce CMS","2026-07-15","passed","2026-07-15","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","2832","testLoginWithEmptyEmail","eCommerce CMS","2026-07-15","passed","2026-07-15","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmptyEmail"
"","4609","testLoginWithEmailInvalid","eCommerce CMS","2026-07-15","passed","2026-07-15","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","1","testEditBrand","eCommerce CMS","2026-07-15","skipped","2026-07-15","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testEditBrand"
"","25909","Add product failed, Required field: Discount is NULL ","eCommerce CMS","2026-07-15","failed","2026-07-15","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","25877","testDataTable","eCommerce CMS","2026-07-15","failed","2026-07-15","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","1","testDeleteBrand","eCommerce CMS","2026-07-15","skipped","2026-07-15","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","25551","testNavigateProductPage","eCommerce CMS","2026-07-15","failed","2026-07-15","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
"","25275","Add category failed, Required field: Name is NULL","eCommerce CMS","2026-07-15","failed","2026-07-15","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","25607","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","2026-07-15","failed","2026-07-15","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","8888","testLogout","eCommerce CMS","2026-07-15","passed","2026-07-15","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","25710","testDeleteCategory","eCommerce CMS","2026-07-15","failed","2026-07-15","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","25374","update Ordering Number","eCommerce CMS","2026-07-15","failed","2026-07-15","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
"","25457","searchDataTable","eCommerce CMS","2026-07-15","failed","2026-07-15","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","searchDataTable"
"","28141","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-07-15","failed","2026-07-15","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
