"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4832","testLoginSuccess","eCommerce CMS","Thu May 07 01:41:15 UTC 2026","passed","Thu May 07 01:41:19 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","24957","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","Thu May 07 01:43:55 UTC 2026","failed","Thu May 07 01:44:20 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
"","25078","searchDataTable","eCommerce CMS","Thu May 07 01:42:33 UTC 2026","failed","Thu May 07 01:42:58 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","searchDataTable"
"","25056","testNavigateCategoryPage","eCommerce CMS","Thu May 07 01:41:41 UTC 2026","failed","Thu May 07 01:42:06 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateCategoryPage"
"","25617","testNavigateBrandPage","eCommerce CMS","Thu May 07 01:41:15 UTC 2026","failed","Thu May 07 01:41:40 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","24781","Add product failed, Required field: Discount is NULL ","eCommerce CMS","Thu May 07 01:43:25 UTC 2026","failed","Thu May 07 01:43:49 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","2713","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","Thu May 07 01:43:50 UTC 2026","failed","Thu May 07 01:43:53 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","25519","update Ordering Number","eCommerce CMS","Thu May 07 01:42:58 UTC 2026","failed","Thu May 07 01:43:24 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
"","25073","testAddNewBrand","eCommerce CMS","Thu May 07 01:41:34 UTC 2026","failed","Thu May 07 01:41:59 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","25022","testDataTable","eCommerce CMS","Thu May 07 01:44:17 UTC 2026","failed","Thu May 07 01:44:42 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","26614","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","Thu May 07 01:41:07 UTC 2026","failed","Thu May 07 01:41:33 UTC 2026","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","25039","testNavigateProductPage","eCommerce CMS","Thu May 07 01:42:07 UTC 2026","failed","Thu May 07 01:42:32 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
"","24978","Add category failed, Required field: Name is NULL","eCommerce CMS","Thu May 07 01:43:25 UTC 2026","failed","Thu May 07 01:43:50 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","4305","testLoginWithEmailInvalid","eCommerce CMS","Thu May 07 01:41:20 UTC 2026","passed","Thu May 07 01:41:24 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","2957","testPasswordNull","eCommerce CMS","Thu May 07 01:41:29 UTC 2026","passed","Thu May 07 01:41:32 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testPasswordNull"
"","25216","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","Thu May 07 01:44:21 UTC 2026","failed","Thu May 07 01:44:46 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","25656","testDeleteCategory","eCommerce CMS","Thu May 07 01:43:50 UTC 2026","failed","Thu May 07 01:44:16 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","2976","testIncorrectFormatEmail","eCommerce CMS","Thu May 07 01:41:11 UTC 2026","passed","Thu May 07 01:41:14 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","4029","testLoginWithPasswordInvalid","eCommerce CMS","Thu May 07 01:41:25 UTC 2026","passed","Thu May 07 01:41:29 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","25198","Add product and Check product details","eCommerce CMS","Thu May 07 01:42:59 UTC 2026","failed","Thu May 07 01:43:24 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
"","7297","testLogout","eCommerce CMS","Thu May 07 01:41:07 UTC 2026","passed","Thu May 07 01:41:14 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","32951","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","Thu May 07 01:40:17 UTC 2026","failed","Thu May 07 01:40:50 UTC 2026","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","24940","testAddNewCategory","eCommerce CMS","Thu May 07 01:42:33 UTC 2026","failed","Thu May 07 01:42:58 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategory"
"","25113","testDeleteBrand","eCommerce CMS","Thu May 07 01:42:00 UTC 2026","failed","Thu May 07 01:42:25 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","3796","testEmailNull","eCommerce CMS","Thu May 07 01:41:07 UTC 2026","passed","Thu May 07 01:41:10 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testEmailNull"
"","26411","testAddBrandNullName","eCommerce CMS","Thu May 07 01:41:07 UTC 2026","failed","Thu May 07 01:41:33 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddBrandNullName"
"","24935","testEditProduct","eCommerce CMS","Thu May 07 01:44:47 UTC 2026","failed","Thu May 07 01:45:12 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
