"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27768","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-07-17","failed","2026-07-17","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","25150","Add product failed, Required field: Discount is NULL ","eCommerce CMS","2026-07-17","failed","2026-07-17","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","24786","testEditProduct","eCommerce CMS","2026-07-17","failed","2026-07-17","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
"","25802","testNavigateBrandPage","eCommerce CMS","2026-07-17","failed","2026-07-17","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","25170","testDataTable","eCommerce CMS","2026-07-17","failed","2026-07-17","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","25056","testNavigateCategoryPage","eCommerce CMS","2026-07-17","failed","2026-07-17","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateCategoryPage"
"","2701","testLoginWithEmptyPassword","eCommerce CMS","2026-07-17","passed","2026-07-17","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmptyPassword"
"","24836","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","2026-07-17","failed","2026-07-17","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","3748","testIncorrectFormatEmail","eCommerce CMS","2026-07-17","passed","2026-07-17","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","25428","searchDataTable","eCommerce CMS","2026-07-17","failed","2026-07-17","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","searchDataTable"
"","25280","testDeleteCategory","eCommerce CMS","2026-07-17","failed","2026-07-17","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","25622","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","2026-07-17","failed","2026-07-17","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
"","25254","Add product and Check product details","eCommerce CMS","2026-07-17","failed","2026-07-17","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
"","25675","testAddNewCategory","eCommerce CMS","2026-07-17","failed","2026-07-17","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategory"
"","0","initPagesAndLogin","eCommerce CMS","2026-07-17","failed","2026-07-17","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","initPagesAndLogin"
"","27371","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-07-17","failed","2026-07-17","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","4325","testLoginWithEmailInvalid","eCommerce CMS","2026-07-17","passed","2026-07-17","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","0","testAddNewBrand","eCommerce CMS","2026-07-17","skipped","2026-07-17","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","0","testEditBrand","eCommerce CMS","2026-07-17","skipped","2026-07-17","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testEditBrand"
