"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testDeleteBrand","eCommerce CMS","2026-06-22","skipped","2026-06-22","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","3883","testLoginWithPasswordInvalid","eCommerce CMS","2026-06-22","passed","2026-06-22","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","24985","testDataTable","eCommerce CMS","2026-06-22","failed","2026-06-22","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","1","initPagesAndLogin","eCommerce CMS","2026-06-22","failed","2026-06-22","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","initPagesAndLogin"
"","24642","Add product failed, Required field: Discount is NULL ","eCommerce CMS","2026-06-22","failed","2026-06-22","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","4820","testLoginSuccess","eCommerce CMS","2026-06-22","passed","2026-06-22","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","24415","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","2026-06-22","failed","2026-06-22","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
"","25292","update Ordering Number","eCommerce CMS","2026-06-22","failed","2026-06-22","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
"","24810","Add product and Check product details","eCommerce CMS","2026-06-22","failed","2026-06-22","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
"","3169","testIncorrectFormatEmail","eCommerce CMS","2026-06-22","passed","2026-06-22","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","26063","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-06-22","failed","2026-06-22","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","24213","Add category failed, Required field: Name is NULL","eCommerce CMS","2026-06-22","failed","2026-06-22","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","7199","testLogout","eCommerce CMS","2026-06-22","passed","2026-06-22","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","24563","testDeleteCategory","eCommerce CMS","2026-06-22","failed","2026-06-22","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
