"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2683","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","Wed Apr 08 01:42:22 UTC 2026","failed","Wed Apr 08 01:42:24 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","25736","testNavigateBrandPage","eCommerce CMS","Wed Apr 08 01:39:45 UTC 2026","failed","Wed Apr 08 01:40:11 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","25260","testNavigateCategoryPage","eCommerce CMS","Wed Apr 08 01:40:12 UTC 2026","failed","Wed Apr 08 01:40:37 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateCategoryPage"
"","24968","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","Wed Apr 08 01:42:53 UTC 2026","failed","Wed Apr 08 01:43:18 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","4788","testDataTable","eCommerce CMS","Wed Apr 08 01:42:28 UTC 2026","failed","Wed Apr 08 01:42:33 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","2927","update Ordering Number","eCommerce CMS","Wed Apr 08 01:41:30 UTC 2026","failed","Wed Apr 08 01:41:33 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
"","24960","Add category failed, Required field: Name is NULL","eCommerce CMS","Wed Apr 08 01:41:36 UTC 2026","failed","Wed Apr 08 01:42:01 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","25673","testAddNewBrand","eCommerce CMS","Wed Apr 08 01:40:05 UTC 2026","failed","Wed Apr 08 01:40:30 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","27157","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","Wed Apr 08 01:39:37 UTC 2026","failed","Wed Apr 08 01:40:04 UTC 2026","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","26380","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","Wed Apr 08 01:38:51 UTC 2026","failed","Wed Apr 08 01:39:17 UTC 2026","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","24992","testEditProduct","eCommerce CMS","Wed Apr 08 01:43:19 UTC 2026","failed","Wed Apr 08 01:43:44 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
"","25191","testDeleteBrand","eCommerce CMS","Wed Apr 08 01:40:31 UTC 2026","failed","Wed Apr 08 01:40:56 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","4265","testLoginWithEmailInvalid","eCommerce CMS","Wed Apr 08 01:39:50 UTC 2026","passed","Wed Apr 08 01:39:55 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","4308","testLoginWithPasswordInvalid","eCommerce CMS","Wed Apr 08 01:39:55 UTC 2026","passed","Wed Apr 08 01:40:00 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","24862","Add product failed, Required field: Discount is NULL ","eCommerce CMS","Wed Apr 08 01:41:56 UTC 2026","failed","Wed Apr 08 01:42:21 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","25346","testAddNewCategory","eCommerce CMS","Wed Apr 08 01:41:04 UTC 2026","failed","Wed Apr 08 01:41:29 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategory"
"","25445","testDeleteCategory","eCommerce CMS","Wed Apr 08 01:42:02 UTC 2026","failed","Wed Apr 08 01:42:27 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","25172","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","Wed Apr 08 01:42:27 UTC 2026","failed","Wed Apr 08 01:42:52 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
