"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25580","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
"","25150","testNavigateBrandPage","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","26046","testDeleteCategory","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","25701","testAddNewCategory","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategory"
"","25688","Add category failed, Required field: Name is NULL","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","25649","Add product and Check product details","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
"","5103","testLoginSuccess","eCommerce CMS","2026-07-09","passed","2026-07-09","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","0","initPagesAndLogin","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","initPagesAndLogin"
"","25834","testNavigateCategoryPage","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateCategoryPage"
"","26623","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","3332","testLoginWithEmptyPassword","eCommerce CMS","2026-07-09","passed","2026-07-09","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmptyPassword"
"","25713","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","25880","searchDataTable","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","searchDataTable"
"","2970","testLoginWithEmptyEmail","eCommerce CMS","2026-07-09","passed","2026-07-09","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmptyEmail"
"","4428","testLoginWithPasswordInvalid","eCommerce CMS","2026-07-09","passed","2026-07-09","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","25591","update Ordering Number","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
"","25485","testDataTable","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","25532","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","4683","testLoginWithEmailInvalid","eCommerce CMS","2026-07-09","passed","2026-07-09","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","0","testEditBrand","eCommerce CMS","2026-07-09","skipped","2026-07-09","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testEditBrand"
"","7608","testLogout","eCommerce CMS","2026-07-09","passed","2026-07-09","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","0","testDeleteBrand","eCommerce CMS","2026-07-09","skipped","2026-07-09","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","0","testAddNewBrand","eCommerce CMS","2026-07-09","skipped","2026-07-09","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","25638","Add product failed, Required field: Discount is NULL ","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","25783","testEditProduct","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
"","26018","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","3394","testIncorrectFormatEmail","eCommerce CMS","2026-07-09","passed","2026-07-09","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","25600","testNavigateProductPage","eCommerce CMS","2026-07-09","failed","2026-07-09","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
