"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25133","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","2026-09-12","failed","2026-09-12","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","1","testLogout","eCommerce CMS","2026-09-12","skipped","2026-09-12","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","25239","Add product failed, Required field: Discount is NULL ","eCommerce CMS","2026-09-12","failed","2026-09-12","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","1","testIncorrectFormatEmail","eCommerce CMS","2026-09-12","skipped","2026-09-12","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","0","testNavigateProductPage","eCommerce CMS","2026-09-12","skipped","2026-09-12","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
"","34196","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-09-12","failed","2026-09-12","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","0","testNavigateBrandPage","eCommerce CMS","2026-09-12","skipped","2026-09-12","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","0","testLoginWithEmailInvalid","eCommerce CMS","2026-09-12","skipped","2026-09-12","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","0","testLoginSuccess","eCommerce CMS","2026-09-12","skipped","2026-09-12","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","24911","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","2026-09-12","failed","2026-09-12","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","0","createDriver","eCommerce CMS","2026-09-12","broken","2026-09-12","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","createDriver"
