"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2753","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","Tue Apr 21 01:41:51 UTC 2026","failed","Tue Apr 21 01:41:54 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","2820","Add product and Check product details","eCommerce CMS","Tue Apr 21 01:41:20 UTC 2026","failed","Tue Apr 21 01:41:22 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
"","3840","testLoginWithPasswordInvalid","eCommerce CMS","Tue Apr 21 01:39:46 UTC 2026","passed","Tue Apr 21 01:39:50 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","24801","testEditProduct","eCommerce CMS","Tue Apr 21 01:42:27 UTC 2026","failed","Tue Apr 21 01:42:52 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
"","25465","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","Tue Apr 21 01:38:47 UTC 2026","failed","Tue Apr 21 01:39:12 UTC 2026","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","25034","testNavigateProductPage","eCommerce CMS","Tue Apr 21 01:40:28 UTC 2026","failed","Tue Apr 21 01:40:53 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
"","25160","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","Tue Apr 21 01:42:01 UTC 2026","failed","Tue Apr 21 01:42:27 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","24599","testDeleteCategory","eCommerce CMS","Tue Apr 21 01:41:51 UTC 2026","failed","Tue Apr 21 01:42:15 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","26438","testAddBrandNullName","eCommerce CMS","Tue Apr 21 01:39:29 UTC 2026","failed","Tue Apr 21 01:39:55 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddBrandNullName"
"","2635","testPasswordNull","eCommerce CMS","Tue Apr 21 01:39:50 UTC 2026","passed","Tue Apr 21 01:39:53 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testPasswordNull"
