"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3475","testEmailNull","eCommerce CMS","Wed May 27 01:48:34 UTC 2026","passed","Wed May 27 01:48:37 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testEmailNull"
"","24398","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","Wed May 27 01:51:00 UTC 2026","failed","Wed May 27 01:51:24 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","23950","Add product failed, Required field: Discount is NULL ","eCommerce CMS","Wed May 27 01:50:26 UTC 2026","failed","Wed May 27 01:50:50 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","24052","testNavigateProductPage","eCommerce CMS","Wed May 27 01:49:32 UTC 2026","failed","Wed May 27 01:49:56 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
"","2323","update Ordering Number","eCommerce CMS","Wed May 27 01:50:21 UTC 2026","failed","Wed May 27 01:50:23 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
"","3681","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","Wed May 27 01:50:50 UTC 2026","failed","Wed May 27 01:50:54 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","26718","testAddBrandNullName","eCommerce CMS","Wed May 27 01:48:34 UTC 2026","failed","Wed May 27 01:49:00 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddBrandNullName"
"","7309","testLogout","eCommerce CMS","Wed May 27 01:48:34 UTC 2026","passed","Wed May 27 01:48:41 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","26697","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","Wed May 27 01:48:34 UTC 2026","failed","Wed May 27 01:49:00 UTC 2026","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","24062","testDataTable","eCommerce CMS","Wed May 27 01:50:56 UTC 2026","failed","Wed May 27 01:51:20 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","4132","testLoginSuccess","eCommerce CMS","Wed May 27 01:48:41 UTC 2026","passed","Wed May 27 01:48:45 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","2219","testPasswordNull","eCommerce CMS","Wed May 27 01:48:53 UTC 2026","passed","Wed May 27 01:48:55 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testPasswordNull"
"","24587","Add category failed, Required field: Name is NULL","eCommerce CMS","Wed May 27 01:50:26 UTC 2026","failed","Wed May 27 01:50:51 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","2756","testIncorrectFormatEmail","eCommerce CMS","Wed May 27 01:48:38 UTC 2026","passed","Wed May 27 01:48:40 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","24569","testNavigateBrandPage","eCommerce CMS","Wed May 27 01:48:41 UTC 2026","failed","Wed May 27 01:49:06 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","24100","testNavigateCategoryPage","eCommerce CMS","Wed May 27 01:49:07 UTC 2026","failed","Wed May 27 01:49:31 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateCategoryPage"
"","3295","testLoginWithPasswordInvalid","eCommerce CMS","Wed May 27 01:48:49 UTC 2026","passed","Wed May 27 01:48:53 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","3984","searchDataTable","eCommerce CMS","Wed May 27 01:49:56 UTC 2026","failed","Wed May 27 01:50:00 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","searchDataTable"
"","24145","testAddNewCategory","eCommerce CMS","Wed May 27 01:49:56 UTC 2026","failed","Wed May 27 01:50:21 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategory"
"","25689","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","Wed May 27 01:47:47 UTC 2026","failed","Wed May 27 01:48:13 UTC 2026","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","3932","testAddNewBrand","eCommerce CMS","Wed May 27 01:49:01 UTC 2026","failed","Wed May 27 01:49:05 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","2291","testEditProduct","eCommerce CMS","Wed May 27 01:51:25 UTC 2026","failed","Wed May 27 01:51:27 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
"","24104","testDeleteBrand","eCommerce CMS","Wed May 27 01:49:06 UTC 2026","failed","Wed May 27 01:49:30 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","2232","testDeleteCategory","eCommerce CMS","Wed May 27 01:50:51 UTC 2026","failed","Wed May 27 01:50:53 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","3365","testLoginWithEmailInvalid","eCommerce CMS","Wed May 27 01:48:46 UTC 2026","passed","Wed May 27 01:48:49 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","23979","Add product and Check product details","eCommerce CMS","Wed May 27 01:50:01 UTC 2026","failed","Wed May 27 01:50:25 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
"","3808","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","Wed May 27 01:50:55 UTC 2026","failed","Wed May 27 01:50:59 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
