"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24715","Add category failed, Required field: Name is NULL","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","0","initPagesAndLogin","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","initPagesAndLogin"
"","2344","testLoginWithEmptyPassword","eCommerce CMS","2026-09-10","passed","2026-09-10","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmptyPassword"
"","2342","testLoginWithEmptyEmail","eCommerce CMS","2026-09-10","passed","2026-09-10","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmptyEmail"
"","0","testAddNewBrand","eCommerce CMS","2026-09-10","skipped","2026-09-10","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","3272","testIncorrectFormatEmail","eCommerce CMS","2026-09-10","passed","2026-09-10","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","3468","testLoginWithPasswordInvalid","eCommerce CMS","2026-09-10","passed","2026-09-10","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","24428","testEditProduct","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
"","24634","searchDataTable","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","searchDataTable"
"","24699","Add product and Check product details","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
"","24664","update Ordering Number","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
"","7542","testLogout","eCommerce CMS","2026-09-10","passed","2026-09-10","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","24634","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
"","24569","testNavigateCategoryPage","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateCategoryPage"
"","24610","Add product failed, Required field: Discount is NULL ","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","24770","testNavigateProductPage","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
"","26437","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","0","testEditBrand","eCommerce CMS","2026-09-10","skipped","2026-09-10","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testEditBrand"
"","24823","testDataTable","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","28278","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","24671","testAddNewCategory","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategory"
"","24907","testNavigateBrandPage","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","4948","testLoginSuccess","eCommerce CMS","2026-09-10","passed","2026-09-10","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","3634","testLoginWithEmailInvalid","eCommerce CMS","2026-09-10","passed","2026-09-10","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","26322","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","24626","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","0","testDeleteBrand","eCommerce CMS","2026-09-10","skipped","2026-09-10","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","24644","testDeleteCategory","eCommerce CMS","2026-09-10","failed","2026-09-10","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
