"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","testLoginWithEmailInvalid","eCommerce CMS","2026-08-17","skipped","2026-08-17","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","0","testEditBrand","eCommerce CMS","2026-08-17","skipped","2026-08-17","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testEditBrand"
"","3","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-08-17","skipped","2026-08-17","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","26575","testDataTable","eCommerce CMS","2026-08-17","failed","2026-08-17","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","25854","Add product and Check product details","eCommerce CMS","2026-08-17","failed","2026-08-17","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
"","1","testDeleteBrand","eCommerce CMS","2026-08-17","skipped","2026-08-17","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","1","testLogout","eCommerce CMS","2026-08-17","skipped","2026-08-17","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","25198","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","2026-08-17","failed","2026-08-17","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","0","testIncorrectFormatEmail","eCommerce CMS","2026-08-17","skipped","2026-08-17","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","24683","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","2026-08-17","failed","2026-08-17","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","25610","testAddNewCategory","eCommerce CMS","2026-08-17","failed","2026-08-17","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategory"
"","0","testNavigateProductPage","eCommerce CMS","2026-08-17","skipped","2026-08-17","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
