"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5371","testLoginSuccess","eCommerce CMS","2026-06-13","passed","2026-06-13","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","0","testDeleteBrand","eCommerce CMS","2026-06-13","skipped","2026-06-13","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","4012","testLoginWithPasswordInvalid","eCommerce CMS","2026-06-13","passed","2026-06-13","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","25454","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","2026-06-13","failed","2026-06-13","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","25111","testDeleteCategory","eCommerce CMS","2026-06-13","failed","2026-06-13","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","24847","Add product failed, Required field: Discount is NULL ","eCommerce CMS","2026-06-13","failed","2026-06-13","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","25392","update Ordering Number","eCommerce CMS","2026-06-13","failed","2026-06-13","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
"","24830","testNavigateCategoryPage","eCommerce CMS","2026-06-13","failed","2026-06-13","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateCategoryPage"
"","25074","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","2026-06-13","failed","2026-06-13","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
"","31754","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-06-13","failed","2026-06-13","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","0","testAddNewBrand","eCommerce CMS","2026-06-13","skipped","2026-06-13","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
