"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9130","testLogout","eCommerce CMS","2026-08-10","passed","2026-08-10","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","25384","testNavigateBrandPage","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","25363","testDataTable","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","25220","testNavigateCategoryPage","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateCategoryPage"
"","25222","Add product failed, Required field: Discount is NULL ","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","25069","testNavigateProductPage","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
"","0","initPagesAndLogin","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","initPagesAndLogin"
"","32970","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","4254","testIncorrectFormatEmail","eCommerce CMS","2026-08-10","passed","2026-08-10","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","24974","update Ordering Number","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
"","4052","testLoginWithPasswordInvalid","eCommerce CMS","2026-08-10","passed","2026-08-10","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","0","testEditBrand","eCommerce CMS","2026-08-10","skipped","2026-08-10","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testEditBrand"
"","0","testAddNewBrand","eCommerce CMS","2026-08-10","skipped","2026-08-10","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","6075","testLoginSuccess","eCommerce CMS","2026-08-10","passed","2026-08-10","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","25486","testDeleteCategory","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","25384","Add category failed, Required field: Name is NULL","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","28494","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","0","testDeleteBrand","eCommerce CMS","2026-08-10","skipped","2026-08-10","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","25552","searchDataTable","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","searchDataTable"
"","2690","testLoginWithEmptyEmail","eCommerce CMS","2026-08-10","passed","2026-08-10","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmptyEmail"
"","24873","Add product and Check product details","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
"","24749","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","25340","testAddNewCategory","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategory"
"","4417","testLoginWithEmailInvalid","eCommerce CMS","2026-08-10","passed","2026-08-10","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","25115","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","2791","testLoginWithEmptyPassword","eCommerce CMS","2026-08-10","passed","2026-08-10","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmptyPassword"
"","25440","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
"","24867","testEditProduct","eCommerce CMS","2026-08-10","failed","2026-08-10","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
