"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24610","testNavigateCategoryPage","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateCategoryPage"
"","24933","searchDataTable","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","searchDataTable"
"","1","initPagesAndLogin","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","initPagesAndLogin"
"","0","testAddNewBrand","eCommerce CMS","2026-09-24","skipped","2026-09-24","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","3134","testIncorrectFormatEmail","eCommerce CMS","2026-09-24","passed","2026-09-24","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","0","testEditBrand","eCommerce CMS","2026-09-24","skipped","2026-09-24","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testEditBrand"
"","24698","Add product and Check product details","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
"","25883","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","24918","testEditProduct","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
"","25183","testAddNewCategory","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategory"
"","3660","testLoginWithPasswordInvalid","eCommerce CMS","2026-09-24","passed","2026-09-24","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","2308","testLoginWithEmptyPassword","eCommerce CMS","2026-09-24","passed","2026-09-24","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmptyPassword"
"","3883","testLoginWithEmailInvalid","eCommerce CMS","2026-09-24","passed","2026-09-24","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","25038","testDataTable","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","26675","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","7470","testLogout","eCommerce CMS","2026-09-24","passed","2026-09-24","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","0","testDeleteBrand","eCommerce CMS","2026-09-24","skipped","2026-09-24","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","2247","testLoginWithEmptyEmail","eCommerce CMS","2026-09-24","passed","2026-09-24","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmptyEmail"
"","25246","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
"","25302","testNavigateProductPage","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
"","25289","testNavigateBrandPage","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","25325","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","32167","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","24926","Add category failed, Required field: Name is NULL","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","5594","testLoginSuccess","eCommerce CMS","2026-09-24","passed","2026-09-24","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","24965","update Ordering Number","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
"","24985","testDeleteCategory","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","25260","Add product failed, Required field: Discount is NULL ","eCommerce CMS","2026-09-24","failed","2026-09-24","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
