"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2885","testDeleteCategory","eCommerce CMS","Sat Apr 04 17:51:31 UTC 2026","failed","Sat Apr 04 17:51:33 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","24914","testNavigateCategoryPage","eCommerce CMS","Sat Apr 04 17:49:23 UTC 2026","failed","Sat Apr 04 17:49:47 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateCategoryPage"
"","24821","update Ordering Number","eCommerce CMS","Sat Apr 04 17:50:40 UTC 2026","failed","Sat Apr 04 17:51:04 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
"","26696","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","Sat Apr 04 17:48:48 UTC 2026","failed","Sat Apr 04 17:49:15 UTC 2026","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","24728","Add product failed, Required field: Discount is NULL ","eCommerce CMS","Sat Apr 04 17:50:46 UTC 2026","failed","Sat Apr 04 17:51:10 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","3369","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","Sat Apr 04 17:48:28 UTC 2026","failed","Sat Apr 04 17:48:31 UTC 2026","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","24917","Add category failed, Required field: Name is NULL","eCommerce CMS","Sat Apr 04 17:51:05 UTC 2026","failed","Sat Apr 04 17:51:30 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","24857","testAddNewBrand","eCommerce CMS","Sat Apr 04 17:49:16 UTC 2026","failed","Sat Apr 04 17:49:41 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","24943","testNavigateProductPage","eCommerce CMS","Sat Apr 04 17:49:48 UTC 2026","failed","Sat Apr 04 17:50:13 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
"","25566","testNavigateBrandPage","eCommerce CMS","Sat Apr 04 17:48:56 UTC 2026","failed","Sat Apr 04 17:49:22 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","2771","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","Sat Apr 04 17:51:17 UTC 2026","failed","Sat Apr 04 17:51:19 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
"","2886","testPasswordNull","eCommerce CMS","Sat Apr 04 17:49:11 UTC 2026","passed","Sat Apr 04 17:49:14 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testPasswordNull"
"","25560","searchDataTable","eCommerce CMS","Sat Apr 04 17:50:14 UTC 2026","failed","Sat Apr 04 17:50:40 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","searchDataTable"
"","24939","testAddNewCategory","eCommerce CMS","Sat Apr 04 17:50:14 UTC 2026","failed","Sat Apr 04 17:50:39 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategory"
"","2832","testDataTable","eCommerce CMS","Sat Apr 04 17:51:36 UTC 2026","failed","Sat Apr 04 17:51:39 UTC 2026","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","7223","testLogout","eCommerce CMS","Sat Apr 04 17:48:48 UTC 2026","passed","Sat Apr 04 17:48:56 UTC 2026","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","3081","testIncorrectFormatEmail","eCommerce CMS","Sat Apr 04 17:48:52 UTC 2026","passed","Sat Apr 04 17:48:56 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","24996","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","Sat Apr 04 17:51:22 UTC 2026","failed","Sat Apr 04 17:51:47 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","4333","testLoginWithPasswordInvalid","eCommerce CMS","Sat Apr 04 17:49:07 UTC 2026","passed","Sat Apr 04 17:49:11 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","26692","testAddBrandNullName","eCommerce CMS","Sat Apr 04 17:48:48 UTC 2026","failed","Sat Apr 04 17:49:15 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddBrandNullName"
"","4121","testLoginWithEmailInvalid","eCommerce CMS","Sat Apr 04 17:49:02 UTC 2026","passed","Sat Apr 04 17:49:06 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","24894","testEditProduct","eCommerce CMS","Sat Apr 04 17:51:47 UTC 2026","failed","Sat Apr 04 17:52:12 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
"","5160","testLoginSuccess","eCommerce CMS","Sat Apr 04 17:48:56 UTC 2026","passed","Sat Apr 04 17:49:01 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","25004","testDeleteBrand","eCommerce CMS","Sat Apr 04 17:49:41 UTC 2026","failed","Sat Apr 04 17:50:06 UTC 2026","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","2831","Add product and Check product details","eCommerce CMS","Sat Apr 04 17:50:40 UTC 2026","failed","Sat Apr 04 17:50:43 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
"","3615","testEmailNull","eCommerce CMS","Sat Apr 04 17:48:48 UTC 2026","passed","Sat Apr 04 17:48:52 UTC 2026","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testEmailNull"
"","2771","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","Sat Apr 04 17:51:11 UTC 2026","failed","Sat Apr 04 17:51:14 UTC 2026","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
