"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24224","testDeleteCategory","eCommerce CMS","2026-06-29","failed","2026-06-29","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDeleteCategory"
"","0","createDriver","eCommerce CMS","2026-06-29","broken","2026-06-29","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","createDriver"
"","1","testLoginWithEmptyPassword","eCommerce CMS","2026-06-29","skipped","2026-06-29","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmptyPassword"
"","24284","testAddNewCategory","eCommerce CMS","2026-06-29","failed","2026-06-29","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategory"
"","25353","Add product failed, Required field: Unit price is NULL ","eCommerce CMS","2026-06-29","failed","2026-06-29","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitPriceNull"
"","0","testNavigateBrandPage","eCommerce CMS","2026-06-29","skipped","2026-06-29","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateBrandPage"
"","0","testLoginWithEmailInvalid","eCommerce CMS","2026-06-29","skipped","2026-06-29","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmailInvalid"
"","24234","Add product failed, Required field: Product Name is NULL ","eCommerce CMS","2026-06-29","failed","2026-06-29","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withProductNameNull"
"","0","testLoginWithPasswordInvalid","eCommerce CMS","2026-06-29","skipped","2026-06-29","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithPasswordInvalid"
"","9","testNavigateProductPage","eCommerce CMS","2026-06-29","skipped","2026-06-29","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateProductPage"
"","24297","update Ordering Number","eCommerce CMS","2026-06-29","failed","2026-06-29","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testEditCategory"
"","24810","testDataTable","eCommerce CMS","2026-06-29","failed","2026-06-29","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testDataTable"
"","0","testDeleteBrand","eCommerce CMS","2026-06-29","skipped","2026-06-29","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testDeleteBrand"
"","0","testEditBrand","eCommerce CMS","2026-06-29","skipped","2026-06-29","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testEditBrand"
"","6","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-06-29","skipped","2026-06-29","AT04_CMS.testcases.FlowTest","Login, Dashboard, Brand","AT04_CMS.testcases.FlowTest","testFlow"
"","1","testAddNewBrand","eCommerce CMS","2026-06-29","skipped","2026-06-29","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","testAddNewBrand"
"","24214","Add category failed, Required field: Name is NULL","eCommerce CMS","2026-06-29","failed","2026-06-29","AT04_CMS.testcases.CategoryTest","Category, Product","AT04_CMS.testcases.CategoryTest","testAddNewCategoryNull"
"","0","createDriver","eCommerce CMS","2026-06-29","broken","2026-06-29","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","createDriver"
"","28233","searchDataTable","eCommerce CMS","2026-06-29","failed","2026-06-29","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","searchDataTable"
"","29298","Flow: Login > Add brand > Add category > Add product ","eCommerce CMS","2026-06-29","failed","2026-06-29","AT04_CMS.testcases.FlowTest","Flow test","AT04_CMS.testcases.FlowTest","testFlow"
"","1","createDriver","eCommerce CMS","2026-06-29","broken","2026-06-29","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","createDriver"
"","0","testLoginWithEmptyEmail","eCommerce CMS","2026-06-29","skipped","2026-06-29","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginWithEmptyEmail"
"","2","testLoginSuccess","eCommerce CMS","2026-06-29","skipped","2026-06-29","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testLoginSuccess"
"","2","testIncorrectFormatEmail","eCommerce CMS","2026-06-29","skipped","2026-06-29","AT04_CMS.testcases.LoginTest","Login, Dashboard, Brand","AT04_CMS.testcases.LoginTest","testIncorrectFormatEmail"
"","24543","Add product failed, Required field: Unit is are NULL ","eCommerce CMS","2026-06-29","failed","2026-06-29","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withUnitNull"
"","1","testLogout","eCommerce CMS","2026-06-29","skipped","2026-06-29","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testLogout"
"","24371","testEditProduct","eCommerce CMS","2026-06-29","failed","2026-06-29","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testEditProduct"
"","0","initPagesAndLogin","eCommerce CMS","2026-06-29","broken","2026-06-29","AT04_CMS.testcases.BrandTest","Login, Dashboard, Brand","AT04_CMS.testcases.BrandTest","initPagesAndLogin"
"","4","testNavigateCategoryPage","eCommerce CMS","2026-06-29","skipped","2026-06-29","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","testNavigateCategoryPage"
"","24147","Add product failed, Required field: Discount is NULL ","eCommerce CMS","2026-06-29","failed","2026-06-29","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddProduct_withDiscountNull"
"","0","createDriver","eCommerce CMS","2026-06-29","broken","2026-06-29","AT04_CMS.testcases.DashboardTest","Login, Dashboard, Brand","AT04_CMS.testcases.DashboardTest","createDriver"
"","24124","Add product and Check product details","eCommerce CMS","2026-06-29","failed","2026-06-29","AT04_CMS.testcases.ProductTest","Category, Product","AT04_CMS.testcases.ProductTest","testAddNewProductSuccess"
